Name,Stars,Title,Date,Description
Achintya Ghosh,5.0,"5.0 out of 5 stars
Faster delivery good product",20/01/2024,Faster delivery good product
Murali Gopal Vakkala,4.0,"4.0 out of 5 stars
Cost is high",05/12/2023,cost should be less for 120g pack.
R S,4.0,"4.0 out of 5 stars
Sligthly higher cost but worth it",15/10/2023,"Colgate total always better than the standard one. Higher cost but, you need to take only little bit and brush and it has been very effective for us for past many years. Clean after feeling, less tooth issues and standard product"
Ramani Sankar,4.0,"4.0 out of 5 stars
Colgate Total 240g",25/11/2023,Good
Siva Kumar,5.0,"5.0 out of 5 stars
The quality of your paste is in THE BRUSHING REGULARLY",08/12/2023,There is nothing to dislike in a colgate total tòoth paste.It's fine as it is now except that the manufactuŕers could spare tHE AIR filled into the tube instead of Paste.It is like hitting an AIR pocket when you are in a flight ✈️.
Aadisha Jaiswal,4.0,"4.0 out of 5 stars
Best",06/11/2023,"I like colgate total price are little high, good one"
Amazon Customer,4.0,"4.0 out of 5 stars
Best Oral Toothpaste!",30/10/2023,Best in performance and long lasting effect!
herbie macho,4.0,"4.0 out of 5 stars
Protects your teeth.",24/10/2023,Have been using this paste from childhood. Good protection for teeth.
Sibhi,4.0,"4.0 out of 5 stars
Spicy....",03/10/2023,It cleans the tooth well but feel a bit spicy and irritating on tongue. Shouldn't use a big drop of paste. Only a small portion is enough
Sanjay,4.0,"4.0 out of 5 stars
Good",22/10/2023,As usual good
0559518868,4.0,"4.0 out of 5 stars
The best toothpaste",12/10/2023,Nothing to beat Colgate!
rajiv,4.0,"4.0 out of 5 stars
Best",01/10/2023,Best one. Only one of the few toothpastes which have flouride content of 1450 ppm flouride.
Vincent,5.0,"5.0 out of 5 stars
Prompt delivery",06/12/2023,Value for the money
Placeholder,4.0,"4.0 out of 5 stars
Peppery taste is important",20/10/2023,Should be in a bigger size.
Bharat kumar,4.0,"4.0 out of 5 stars
Good quality",04/10/2023,Good quality
Amazon Customer,5.0,"5.0 out of 5 stars
Good product",17/11/2023,Good product and qualty.
Kitoho,4.0,"4.0 out of 5 stars
Best of colgate",05/09/2023,Best colgate. Value for money
Mohammad Parwez Ansari,5.0,"5.0 out of 5 stars
Colgate total 12",22/10/2023,"I think it is good in every way like healthy gums, teeth and whiteness of teeth."
Prasad,5.0,"5.0 out of 5 stars
Amazing quality",15/08/2023,I stopped using close up maxfresh and other gel toothpastes after my dentist mentioned that I need a fluoridated tp. I use Parodontax and Colgate total and my oral health is much better. I regret that I had fallen for 24 hr mouth fresh gel tps. Parodontax and Col total are excellent for preventing gum related issues such as gingivitis. I think Col total is a lil better- no evidence just a personal statement
Kindle Customer,5.0,"5.0 out of 5 stars
I like it.",11/10/2023,It is good. I am using it for a long time.
Ajay T,5.0,"5.0 out of 5 stars
Good one",23/10/2023,Best product
dpmity,5.0,"5.0 out of 5 stars
I consider these the best from the best ( Colgate ) ...",01/10/2023,"The media could not be loaded.
                



 I always liked the taste and result of the colgate products. These are supposed to be a very good one from them and they really are !!"
Nisarg Trivedi,2.0,"2.0 out of 5 stars
Go for regular",30/01/2024,Doesn't feel any difference just bit more mint flavor
Rakesh Kumar,4.0,"4.0 out of 5 stars
Toothpaste",01/08/2023,good item
Samarth,5.0,"5.0 out of 5 stars
Better than regular Colgate, but taste not as good, less mint and less refreshing",19/09/2023,"I use both. Regular and this.. Somedays this, Somedays regular..I think this is more effective"
Selfish,5.0,"5.0 out of 5 stars
Superb",30/09/2023,Best rate
Rtn Ravinder Reddy Panyala,5.0,"5.0 out of 5 stars
Paste",21/09/2023,Good
R k,5.0,"5.0 out of 5 stars
Fine",19/09/2023,Fine
Brijesh,4.0,"4.0 out of 5 stars
Good for total health of mouth",26/06/2023,Must buy
kgs,5.0,"5.0 out of 5 stars
Originality is missing!",10/08/2023,"Using this product since launching of the product, but surprisingly the FRESHNESS is missing from the product."
Imran ali,5.0,"5.0 out of 5 stars
Best product",29/08/2023,Awesome product
P.VEERA NARENDRA,5.0,"5.0 out of 5 stars
Best",16/09/2023,Best quality
Amazon Customer,5.0,"5.0 out of 5 stars
Combo packs are comfortable and affordable price.",14/08/2023,Best price and value for money 🤑
Nilanjan De Sarkar,5.0,"5.0 out of 5 stars
Colgate Total",08/04/2023,"Though Colgate has different types of toothpaste which are available in the Indian market but this one I mean Colgate Total is definitely good for long time dental hygiene and health as it prevents bacteria, and cavities and also keeps your teeth in good condition for a long time. I am using it for more than 10 years and am quite happy with the results."
vinay prabhu,5.0,"5.0 out of 5 stars
Recommended",14/08/2023,Have been using it regularly for years now.
Sundaramoorthy,5.0,"5.0 out of 5 stars
Super",15/08/2023,Good
Saurabh,4.0,"4.0 out of 5 stars
Colgate Total",30/04/2023,I have been shifted to this on my dentist's advice and I am not disappointed.
RAJA MUKHOPADHYAY,5.0,"5.0 out of 5 stars
Awesome",20/08/2023,Awesome
Jayesh gupta,4.0,"4.0 out of 5 stars
Value for money",29/04/2023,Value for money
Krishan,4.0,"4.0 out of 5 stars
Ok",28/03/2023,"Although it's good, but having many negative ingredients. One may choose better options like dabur, meswak etc."
Placeholder,3.0,"3.0 out of 5 stars
Taste not so good",24/04/2023,"Taste is not so good, it's decent but bad taste than other Colgate toothpastes.I didn't experienced any major improvements in mouth freshness and cavity protection as compared to other Colgate toothpastes. It's more priced and it should have better action than other Colgate low priced toothpastes."
Ravindra,5.0,"5.0 out of 5 stars
Good",15/12/2023,Good
BobzBLR,5.0,"5.0 out of 5 stars
Good toothpaste",23/07/2023,Not very economical but good if used twice every day. Taste is pleasant and cleans mildly without much abrasion.
MS,5.0,"5.0 out of 5 stars
Best toothpaste",25/07/2023,Very happy with consistent quality
SREELEKHA. R,5.0,"5.0 out of 5 stars
Good product",23/07/2023,Mild on teeth and recommended by dentists
Harsha,5.0,"5.0 out of 5 stars
Good",03/08/2023,Brand as a brand
Vinaykumar,4.0,"4.0 out of 5 stars
Good brand at a very good price, but quality ....?!",05/02/2022,"Colgate Total (green) had been my favourite. Grabned this best offer price, which was less than Rs 175 for 2 toothpaste tubes!But I doubt if this is a genuine QC passed product and not any rejected or under deviation approved lot. Toothpaste consistency is low. Taste is different. Amazon can certainly look into this matter to protect their customers' interests.Or its, more likely, that retail prices are highly inflated, as high as 500%, so genuine discount makes its price reasonable."
ravi verma,4.0,"4.0 out of 5 stars
Value for money 💵",14/03/2023,Value for money
Sachin,5.0,"5.0 out of 5 stars
Good product",18/06/2023,It's a good product then average Colgate it will clean your teeth properly
indian science fiction,5.0,"5.0 out of 5 stars
Best Colgate dental paste",10/06/2023,I have been using this since a few years with all my teeth troubles cured and seems gone forever. Strongly recommended.
ANIL K.,4.0,"4.0 out of 5 stars
Good",28/02/2023,We like this product.
Renuka,5.0,"5.0 out of 5 stars
Best",03/07/2023,Best
Mandar Urankar,5.0,"5.0 out of 5 stars
great",02/07/2023,great
Placeholder,4.0,"4.0 out of 5 stars
Nice",05/02/2023,Good for teeth health
Deepak Kumar,4.0,"4.0 out of 5 stars
nice",28/01/2023,good
Dr Asif HALEEM,5.0,"5.0 out of 5 stars
Colgate is my favourite",11/05/2023,I like Colgate it is reliable. Others maybe but I cannot be sure. I don’t use gel
sana sayed,1.0,"1.0 out of 5 stars
Wrong description",25/01/2024,Expiring is wrong
Tej bahadur Singh,5.0,"5.0 out of 5 stars
Acha hai",20/05/2023,Acha
Jhumun,3.0,"3.0 out of 5 stars
Thin watery texture",22/02/2023,Totally different from Colgate total which I'd to use daily once upon a time . Don't know real or fake. 🤥
Amitava Ghosh,5.0,"5.0 out of 5 stars
The Best",03/05/2023,Only one required for toothcare
S K Pattanayak,5.0,"5.0 out of 5 stars
Good price",06/05/2023,Good product
Rakesh Kapoor,5.0,"5.0 out of 5 stars
East or West Colgate is the best 👌.",12/04/2023,Family packing suits the Indian family.
Customer,5.0,"5.0 out of 5 stars
Good for sensitive teeth",06/01/2023,"I loved this toothpaste for new tube packaging,freshness and for sensitive gums.Gifted one to my dad too.Will order again as its recommended by my dentist."
Ravindra Shah,5.0,"5.0 out of 5 stars
Brand that ensures quality",23/03/2023,Using since decades....Quality that represents the brand
Pranab,5.0,"5.0 out of 5 stars
My daily goto now",08/01/2023,Much recommended product. I have been using it since last 2 yrs. It is awesome. Taste satle⚖️ freshness good. 👍
Placeholder,5.0,"5.0 out of 5 stars
Satisfactory toothpaste",19/01/2023,Got it from Amazon  at a much cheaper price at Republic day sale.Good quality  paste.
Sadhana Kapur,5.0,"5.0 out of 5 stars
Best toothpaste",27/02/2023,Standard worldwide product and best in the Indian market .
Lily,5.0,"5.0 out of 5 stars
Good",13/04/2023,Good
Shan,5.0,"5.0 out of 5 stars
Nice product from colgate!",02/04/2023,Nice
Radhey,5.0,"5.0 out of 5 stars
Seems like original product.",19/02/2023,Found it here cheaper then market
Sanju tech,5.0,"5.0 out of 5 stars
Good",26/11/2022,"Best dental cream in the market since its launch years back and my family am using it from then, great product by company, go for it, complete protection"
wahid ali khan,5.0,"5.0 out of 5 stars
Now it is renewed excellent.",05/02/2023,Liked this renewed paste as anibiotic.it is really most effective.
Dr. Asif Shah,5.0,"5.0 out of 5 stars
Good",26/02/2023,Paste is good
User,4.0,"4.0 out of 5 stars
Nice",18/09/2022,Nice
GIRDHARI SARSAWAT,5.0,"5.0 out of 5 stars
Amazon very good company",12/11/2022,Amazon very good company Amazon product very good Amazon product original Amazon delivery very fast Amazon my favourite company I'm very happy
Dilip Mondal,3.0,"3.0 out of 5 stars
Price",22/12/2022,Product is good.Hundred eighty four for two foury gm.
Madam,5.0,"5.0 out of 5 stars
Total protection",01/01/2023,I like this product for cleaning my teeth.
ANP,5.0,"5.0 out of 5 stars
It's good",04/01/2023,"The item is from Colgate, so not to worry"
D.ARIVALAGAN,5.0,"5.0 out of 5 stars
SUPER TOOTH PASTE FOR ALL",11/01/2023,"VERY GOOD TOOTH PASTE,IT IS ORGANIC,FRESH,NICE"
Rachel Jyothi,5.0,"5.0 out of 5 stars
Genuine product",05/02/2023,👌
Rajesh,5.0,"5.0 out of 5 stars
Value for money at discounted price",19/01/2023,Good buy
puneet,5.0,"5.0 out of 5 stars
Strong minty flavour",18/11/2022,Better than other toothpaste for regular use
Amazon Customer,5.0,"5.0 out of 5 stars
Best Product",26/10/2022,"Very good product, Flavor is good, Freshness is long-lasting"
Praveen Jani,1.0,"1.0 out of 5 stars
This toothpaste is causing tooth decay.",18/10/2023,"After using both the toothpastes, I am reviewing them.  My teeth are not getting cleaned but have started rotting from inside with the formation of black lines."
Pushpendra Singh Sikarwar,5.0,"5.0 out of 5 stars
Excellent",13/12/2022,Very beautiful product
Anshul Modi,5.0,"5.0 out of 5 stars
Great buy, good price",15/07/2022,got original product at a cheaper rate than the retail price. Was delivered in 2 days. Satisfied.
Arvind Khadse,1.0,"1.0 out of 5 stars
Waste of toothpaste",15/10/2023,The nozzle hole is big resulting in more toothpaste getting squeezed out. Closeup is much better.
Amazon customer,5.0,"5.0 out of 5 stars
Best",21/10/2022,Value for money
Ricky D,5.0,"5.0 out of 5 stars
Colgate Total",17/09/2022,Good product. Keeps your mouth fresh throughout the day.
pramod goyal,5.0,"5.0 out of 5 stars
Ok product",17/11/2022,Ok
Almas Arshad Shaikh,5.0,"5.0 out of 5 stars
Best product at best price",14/04/2022,I always buy this product. And luckily got it at a very cheaper price at amazon.
boopathiraja,5.0,"5.0 out of 5 stars
Reliable and value for money",04/01/2024,"This brand, we use for decades, absolutely reliable..."
Gaganpreet Kaur Ahuja,5.0,"5.0 out of 5 stars
Awesome toothpaste!",10/01/2023,"I feel thankful, happy and blessed to have discovered this toothpaste (being a diabetic). No sugary taste, cleans mouth perfectly. Beautiful and safe ingredients. Although it contains many extracts, I can mainly taste cloves. Taste will feel strong to those who are used to sugary toothpastes, but it doesn't burn your mouth. One can easily get used to this toothpaste if you want a safe and healthy option. It is SLS based but just the basic amount of sulphate cleanser is there. I DON'T need to go on rinsing my mouth for half an hour like other toothpastes. After brushing, just squish water and rinse the mouth a few times. Once the strong taste in your mouth decreases, just gargle a couple times and you have a clean mouth and gut. Consistency is slightly thin and stringy as it doesn't contain fillers like chalk powder, it is cullulose gum based. But it is not messy. My teenager didn't like it as many people prefer taste. But I feel everyone deserves good health and safe products. I received it in brand's sturdy packing. Thank you Nogi!"
Chhavi,5.0,"5.0 out of 5 stars
delicious",11/10/2023,it works
Sunil,5.0,"5.0 out of 5 stars
best in category",03/10/2023,best in category
Amazon Customer,5.0,"5.0 out of 5 stars
Value for money",07/09/2023,Excellent taste. Leaves freshness in the mouth.
A.S.Balasubramanian,5.0,"5.0 out of 5 stars
The best tooth powder n paste.",29/03/2023,"When we did use charcoal as tooth powder, the west termed it wrong. Now, they are following...What an Irony!!!Quality of this brand is the same over 35 years (time I started using)"
A customer,2.0,"2.0 out of 5 stars
Expensive after adding 50 bucks of shipping cost",27/04/2023,"On a 120 Rs of product, Rs 50 as the shipping cost, is not a viable option. Product, otherwise is good."
pooja,5.0,"5.0 out of 5 stars
No going back to any other toothpaste",27/01/2023,There is no going back for me ever since I have started using this toothpaste. My teeth feel clean and it is wonderful. I would recommend all to try this.
deleted user,1.0,"1.0 out of 5 stars
GOOD ONE",31/01/2023,Launch 500 grams and 1 kg packs
Amazon Customer,5.0,"5.0 out of 5 stars
very nice",10/02/2024,very nice
Thirupathy,4.0,"4.0 out of 5 stars
Good Product",19/09/2023,Long lasting freshness
mach,5.0,"5.0 out of 5 stars
Good",18/02/2024,Fairly good
Madhuri Mandal,5.0,"5.0 out of 5 stars
Good",26/12/2023,Good
Imtiaz,3.0,"3.0 out of 5 stars
Crystals make the difference",17/01/2024,"Go for the one with crystals, leaves the breath lot more fresh"
Vivek Rai,4.0,"4.0 out of 5 stars
A nice toothpaste which is different.",01/12/2023,"A toothpaste that is black in colour is definitely unusual but the paste should do the job that it’s supposed to do. I quite like the flavour although it’s mild. However, the mint flavour could have been enhanced. I have noticed the  frequent increase in price of this toothpaste variant . Well, this strategy might pay off in the short run , I doubt if the demand trend will remain forever.  Colgate should look into their Pricing Strategy."
Cynic spirit,5.0,"5.0 out of 5 stars
Value for money pack",09/10/2023,Great pack for the money
Ngaubuing jeme,5.0,"5.0 out of 5 stars
Excellent",27/10/2023,I really love the product
Amit Gupta,4.0,"4.0 out of 5 stars
Product variant is good",01/10/2023,Good in teeth cleaning however seems not different then other variant . Not sure why to spend more on this
BobzBLR,4.0,"4.0 out of 5 stars
Good toothpaste that cleans all",31/10/2023,I don't know how much of claimed charcoal is present but it's just another normal toothpaste.
Akash.,4.0,"4.0 out of 5 stars
Very good",21/09/2023,Does the job it's meant for.
Hariom sharma,4.0,"4.0 out of 5 stars
Numb",03/09/2023,This is like colgate red maxfresh
Kalepu Bramareswara Rao,4.0,"4.0 out of 5 stars
Good",28/08/2023,Good product
Darshan Shah,5.0,"5.0 out of 5 stars
Best Toothpest",22/10/2023,Colgate Charcoal Clean Black jell toothpaste
Amazon Customer,4.0,"4.0 out of 5 stars
Image associated is a mis-match",10/05/2023,"The word 'GEL' was not seen in the associated image/ photograph. I placed order by looking at the associated photo, ie., thinking it as a non-gel toothpaste. But it is OK to get the Gel charcoal paste."
Pradeep,4.0,"4.0 out of 5 stars
Good",09/08/2023,Good toothpaste valve for money
Nyakwang,4.0,"4.0 out of 5 stars
Recommended 👍",08/02/2024,I really like this product for its good smell and long lasting freshness. I'll order again coz all my family members like it😊
Darpan,5.0,"5.0 out of 5 stars
Excellent",09/10/2023,Excellent
Ayesha  parween,2.0,"2.0 out of 5 stars
Ye thik h",13/12/2023,Price iska sahi h
Monika Gupta,5.0,"5.0 out of 5 stars
Love it",27/08/2023,I love charcoal toothpaste. Better than those white one's
Jithin Jose,5.0,"5.0 out of 5 stars
The real charcoal tooth paste",23/06/2023,"I like this product. Previously i am using normal Colgate (white paste). At last i noticed this one. Good product, no issues. I have only one suggestion please sell it in one piece. You are sell it in combo (two or more pieces)"
Sunil,4.0,"4.0 out of 5 stars
Good product",20/04/2023,It's good 👍
RDKN,5.0,"5.0 out of 5 stars
Good",30/08/2023,Good
Sonu yadav,4.0,"4.0 out of 5 stars
Good",13/04/2023,NYC product
happy Sohal,4.0,"4.0 out of 5 stars
Value for money",02/04/2023,Value for money
Moses,4.0,"4.0 out of 5 stars
NICE ONE",02/04/2023,VALUE FOR MONEY
Priyanka HK,5.0,"5.0 out of 5 stars
Nice",08/08/2023,Good
abinandan wazir,3.0,"3.0 out of 5 stars
Average",22/04/2023,Kuch khass nahi hai we should move to other brands rather than Colgate or pepsodentThey all are average
Satyajit pal,5.0,"5.0 out of 5 stars
Good product",02/08/2023,Good product
Mohit bawa,4.0,"4.0 out of 5 stars
Gud",23/02/2023,Charcoal is good for teeth
BIDYUT ARNAB,5.0,"5.0 out of 5 stars
Good",18/08/2023,Good.
A.N.FAROQUE,1.0,"1.0 out of 5 stars
Tp",03/02/2024,Average
RR,4.0,"4.0 out of 5 stars
Good product",15/12/2022,"It's ok for flavour or freshness, but cleaning the teeth is good"
Thendral,4.0,"4.0 out of 5 stars
cheap and best combo",21/01/2023,Worth for money
Deepu nagulanchi,4.0,"4.0 out of 5 stars
Ok",15/01/2023,Ok
RAMMOHANRAO ML,5.0,"5.0 out of 5 stars
Great Flavour!",22/06/2023,Just Go For It!
Amit Juyal,3.0,"3.0 out of 5 stars
Nothing special",05/04/2023,Its just colour changeOtherwise same as old toothpasteWaste of money
Sk MOHAMMED OKIL,5.0,"5.0 out of 5 stars
It is original Colgate paste but rate is something more.",14/05/2023,"Toothpaste clean the tooth,pankhia or khaini kasa wash and take whitening teeth,"
JOby T.,4.0,"4.0 out of 5 stars
Very good",06/12/2022,Like
Syed Ishfaq Ahmad,5.0,"5.0 out of 5 stars
Acha hai",15/05/2023,Good product but price thoda kam hona chahiye
Ankit Patra,5.0,"5.0 out of 5 stars
Good in terms of flavours and smooth too",12/05/2023,Good in terms of flavours and smooth too
Amol automobile seals and services,4.0,"4.0 out of 5 stars
अच्चा प्रॉडक्ट है",12/10/2022,"फ्रेश नेस ,स्वाद ,पैसा पुरा वसुल है"
Roluahpuii Tlau,5.0,"5.0 out of 5 stars
it is so fresh",25/03/2023,yess... i really like it... it brightened my teeth and  taste is also good and fresh.
ASHIM KUMAR GHOSH,4.0,"4.0 out of 5 stars
Good",10/11/2022,Like
Athish chowdary,5.0,"5.0 out of 5 stars
Nice",02/06/2023,Nice
Ibraheem,3.0,"3.0 out of 5 stars
It's very costly and not worth it",06/10/2022,This is very hyped up toothpaste not worth the money charcoal activated it says but no difference after 3 months of use best buy sensodyne
Kuruvella kalyani,4.0,"4.0 out of 5 stars
Its nice",13/09/2022,Am really happy its very nice
Kuriakose Francis,4.0,"4.0 out of 5 stars
good one",28/09/2022,good product
THENNARASU,3.0,"3.0 out of 5 stars
Looks like closeup",10/01/2023,"Nothing special like charcoal,Ordinary paste with black colour"
Apan dvarma,4.0,"4.0 out of 5 stars
Nice products",02/08/2022,Very good product and regiment to all
Amazon Customer,4.0,"4.0 out of 5 stars
Good product",24/10/2022,Good product
Veera,4.0,"4.0 out of 5 stars
Good",27/07/2022,We need more Freshness for this product
RAMESH GUPTA,1.0,"1.0 out of 5 stars
It's not good",30/10/2023,"When I use it problem of bad smell starts and when I switch to dabur clove it automatically stops, also I feel terth cleaning is not up to mark only some black color added no benifits"
Preethi Sadanandan,5.0,"5.0 out of 5 stars
Good product",10/07/2022,"- Started using it after I got cavities, and it's definitely improved my teeth- Doesn't have a strong scent or flavour- I've bought the same toothpaste many times now and I'm very happy with it.Would highly recommend!"
Swagat Dash,5.0,"5.0 out of 5 stars
Worth it !!",14/09/2021,"The mint is the reason for the freshness you feel while using it. The flavour might not be of everybody's liking. I didn't like it that much but my family loved it. Just like every product, it is value for money only when you buy a combo. If you are buying for 1 family go for the pack of 2."
Sneha,5.0,"5.0 out of 5 stars
Best Overall Toothpaste : Colgate Charcoal Clean",27/10/2020,This is one of the highest-rated toothpaste on Amazon. Colgate's Charcoal Clean Toothpaste is basically the gold and above standard for dentists and consumers alike. This toothpaste includes Bamboo Charcoal and Mint which actually brings in a fresh feel inside the mouth that lasts for a long time. This toothpaste has various cleaning properties and also is known to purify breath. I personally believe that it has an excellent taste that isn't overpowering. Highly recommended.
Jayesh Jadhav,4.0,"4.0 out of 5 stars
Worth the money",23/10/2020,This was my first time I bought this Colgets Product (Charcoal Clean) and I Really must say that we should use & experience that how good is this product. It is a money saver pack. And charcoal is always best to use as a teeth cleaner
Sarfaraz  (TUTU),4.0,"4.0 out of 5 stars
Taste is good",29/07/2022,Ok
Shiron,5.0,"5.0 out of 5 stars
Good",01/03/2023,Very good product 👌
Avijit,3.0,"3.0 out of 5 stars
Normal toothpaste",10/09/2022,Nothing is new except the colour. Colgate's other toothpaste are better than Bamboo charcoal and mint gel
Ojal Pandey,5.0,"5.0 out of 5 stars
Great!",11/01/2023,Quite a good product although at a higher range.
Mukesh Rai,4.0,"4.0 out of 5 stars
Good Product. buy it",05/01/2022,"Freshness is very good, after doing it the mood becomes fresh.  Quality very good"
Selva kumar,5.0,"5.0 out of 5 stars
Value for money",08/01/2023,Good product and value for money
Always Indian,3.0,"3.0 out of 5 stars
Great not expired but it's packaging was not good",20/09/2021,It's packaging was not good but colgate was in fresh condition only thing is packaging was not goodMy recommendation is buy only 2package at once otherwise if u buy 4/5 at once it might get expired while using...
PARASMANI SINGH,4.0,"4.0 out of 5 stars
Very good product",29/04/2022,Good product worth of money
Placeholder,5.0,"5.0 out of 5 stars
Long lasting freshness",03/03/2022,"My teeth have a tendency of deposits, had to get scaling done after every 6months. I have been using this paste for past 3 months but still there are no deposits in gums. Very much happy with it."
Amazon Customer,4.0,"4.0 out of 5 stars
Stain removing from tooth",10/07/2021,"After few days use I found this charcoal toothpaste by colgate is removing yellowish stain from my tooth...as for freshness, it's normal."
QUALITY,1.0,"1.0 out of 5 stars
Very bad packing and color sides",17/11/2023,No
Mohammad,4.0,"4.0 out of 5 stars
Nice",21/04/2022,Good
satyaveer,5.0,"5.0 out of 5 stars
Nice one",23/11/2022,Jo ad me dekhta hai wo mt samjhna
Bibhuti Ranjan Mishra,4.0,"4.0 out of 5 stars
Good but little costly",03/02/2022,Good but little costly
JAY D,4.0,"4.0 out of 5 stars
SATISFIED",05/03/2022,Freshness is great
Mario Emmanuel Joseph,5.0,"5.0 out of 5 stars
Refreshing!",06/09/2022,It gives a refreshing feeling in your mouth. Gets the job done. 1st time using a black coloured toothpaste.
Saksham katiyar,4.0,"4.0 out of 5 stars
costly product",15/12/2021,not much suggested only for selected people.
ketki,2.0,"2.0 out of 5 stars
Incomplete order ( 2 toothpaste missing)",06/11/2022,"On opening the parcel , there were only 2 toothpaste of 120gm each instead of 4 . I had slreafy made the payment  while placing the order , but when I received the packet , only 3 toothpaste were yhere"
DR GULIA,4.0,"4.0 out of 5 stars
good",24/03/2022,good
SABA ALAM,5.0,"5.0 out of 5 stars
Best product ever.",25/10/2022,"The media could not be loaded.
                



 Exactly as expected & claimed by Colgate. Teeth looked whiter and plaque got decreased first time use. Nice product ever"
Anando,4.0,"4.0 out of 5 stars
Awesome paste",05/02/2022,Awesome paste
Jasim mistry,4.0,"4.0 out of 5 stars
Average",11/01/2022,Like it
Lakshay sapra,5.0,"5.0 out of 5 stars
nice flavor, fresh breath, value for money!",24/10/2020,"I recieved it few days ago and have been using it since then. It has a wintergreen mint which is know to purify breath and also I liked the flavour and the freshness it leaves after brushing teeth. It has bamboo charcoal Which known for cleaning properties.Overall its a good product, feels refreshing."
Seafood,4.0,"4.0 out of 5 stars
good product",11/12/2021,fresh and nice
Ankita Bhawsar,4.0,"4.0 out of 5 stars
Definitely go for it",26/10/2020,"So so refreshing , bamboo charcoal and mint good combination good for teeth and gums charcoal cleans deeply this paste makes your morning  go for it"
Vishal Kolaki,5.0,"5.0 out of 5 stars
Good 👍",03/12/2022,Super
Anuradha Lohia,2.0,"2.0 out of 5 stars
Can be harmful",29/07/2022,The toothpaste provides what it's famous for- freshness. But does not include any calcium which is very necessary in a toothpaste to protect from cavities and decay. Used this for about an year and had to get fillings 😕 and I don't use them any more. Prolonged use is definitely not advisable.
Anika Patel,5.0,"5.0 out of 5 stars
Good toothpaste",27/10/2020,"I have received this product on time, using since 5 days and I'm happy with the product. Flavour and cooling effect is really good. Also come with reasonable price. Product comes with charcoal added advantage, also cleanness factor is good. I like the product and I can recommend to all of you."
S PRAVEEN LAKSHMAN,5.0,"5.0 out of 5 stars
Colgate charcoal clean",10/08/2020,Good odor and good taste it gives us a good change and they have added mint in the paste so it gives us a good flavor and refreshing feel I'm so glad to use this product I refer this product to the one who is reading this I really love it and tis is worthwhile to this rate👍🏻👍🏻👍🏻
Abhinav Shubham,4.0,"4.0 out of 5 stars
Cheaper than local",12/10/2021,Cheaper than local
Kapil Bhardwaj,3.0,"3.0 out of 5 stars
Ordinary toothpaste.",07/04/2022,Just changing color of toothpaste doesn't make it better.
Kartik Kapila.,5.0,"5.0 out of 5 stars
Great",03/11/2022,Its Good.
Placeholder,4.0,"4.0 out of 5 stars
Overall good",18/11/2021,Overall good
Account Closed,5.0,"5.0 out of 5 stars
Perfect Product",31/05/2021,"It's Flavour Is A Sort Of Like The Clasic Colgate Powder Which Is Good, Also The Mint Freshens The Mouth Perfectly. I Recommend It To Children Who Doesn't Want To Brush, They Will Start Brushing Regularly Trust Me 💯"
Samyuktha Malekar,5.0,"5.0 out of 5 stars
Gives you a fresh feeling",27/10/2020,I have been using this flavour from past few months nowFirst time ordered online delivered very quick and near packingI would totally recommend itGives u a freshness feelingBad breath will certainly goHas a mint and charcoal taste to itMost trusted brand Colgate 👍🏼
pankaj k.,4.0,"4.0 out of 5 stars
Good",21/11/2021,Good
Saipravish,5.0,"5.0 out of 5 stars
Best product",24/02/2022,Booked 6th time for my family wonderful product with charcoal in it thanks for amazon
TRIPWORLD AJMALKVK,5.0,"5.0 out of 5 stars
Good products",10/07/2022,Good delivery  good products
Rinkesh,5.0,"5.0 out of 5 stars
Nice flavor",25/10/2020,"I've been using Colgate since very long time, and this is the new flavor so I had to try. This new charcoal paste is great, it doesn't taste like a charcoal yet works like a charcoal. And the 4 combo pack is value for money."
Sandip Gayen,3.0,"3.0 out of 5 stars
Nice & great product , I'm happy with it .",04/12/2021,"Nice & great product , I'm happy with it ."
Shreyans Jain,5.0,"5.0 out of 5 stars
Minty and Amazing",01/11/2020,It is a great toothpaste. It has a minty flavour similar to MaxFresh but better and the freshness lasts for hours. I would recommend it to everyone who prefers any toothpaste from colgate. It is amazing to use. Has a really great colour too.
VK,4.0,"4.0 out of 5 stars
Affordable and Superhit quality product",24/07/2021,Affordable and Superhit quality product
Niti,5.0,"5.0 out of 5 stars
Colgate",25/08/2022,Name of trust
pannvalan,5.0,"5.0 out of 5 stars
Excellent product",14/11/2023,Taste is ideal. Performance is satisfactory
MAHIRUDDIN SEKH,4.0,"4.0 out of 5 stars
Very good product",04/11/2023,I have been using from one year. It's very good product.
Suranjit Goswami,5.0,"5.0 out of 5 stars
Pricing",22/01/2024,Best price
AnaMaan,5.0,"5.0 out of 5 stars
Good",13/01/2024,Over all it's good.
Amazon Customer,3.0,"3.0 out of 5 stars
Product price everything is good but taste?",25/06/2023,It tastes like dabur lal dant manjan. If you like that then this paste got that to T. Earlier taste was better. New one is just dabur powder in paste form.
VITTAL V,4.0,"4.0 out of 5 stars
Ingrefiants",06/11/2023,Good quality
Excellent,5.0,"5.0 out of 5 stars
Excellent",13/12/2023,Excellent
Samuel D Rozario,5.0,"5.0 out of 5 stars
Very good",04/12/2023,Really good. Using it for sometime. Offering price by Amazon outstanding. Thanks
Harika R.,4.0,"4.0 out of 5 stars
Rate is high",24/01/2024,Paste is awesome but price is more. Last year this was 285/- 4 *200gm pack
